site_id,timestamp,generation_kwh,ac_power_kw,dc_voltage,dc_current,ac_voltage,grid_frequency_hz,inverter_temperature_c,inverter_status,fault_code,data_received,source_quality_flag
MH-101,2026-05-15T00:00:00+05:30,0.0,0.0,0.0,0.0,232.7,50.04,29.0,STANDBY,,true,GOOD
MH-101,2026-05-15T00:15:00+05:30,0.0,0.0,0.0,0.0,230.2,50.02,26.0,STANDBY,,true,GOOD
MH-101,2026-05-15T00:30:00+05:30,0.0,0.0,0.0,0.0,233.2,49.99,26.4,STANDBY,,true,GOOD
MH-101,2026-05-15T00:45:00+05:30,0.0,0.0,0.0,0.0,232.5,49.99,26.3,STANDBY,,true,GOOD
MH-101,2026-05-15T01:00:00+05:30,0.0,0.0,0.0,0.0,228.8,50.06,29.3,STANDBY,,true,GOOD
MH-101,2026-05-15T01:15:00+05:30,0.0,0.0,0.0,0.0,229.2,49.97,29.0,STANDBY,,true,GOOD
MH-101,2026-05-15T01:30:00+05:30,0.0,0.0,0.0,0.0,235.9,49.99,28.3,STANDBY,,true,GOOD
MH-101,2026-05-15T01:45:00+05:30,0.0,0.0,0.0,0.0,229.1,49.98,27.3,STANDBY,,true,GOOD
MH-101,2026-05-15T02:00:00+05:30,0.0,0.0,0.0,0.0,227.2,50.0,26.5,STANDBY,,true,GOOD
MH-101,2026-05-15T02:15:00+05:30,0.0,0.0,0.0,0.0,228.1,50.03,28.4,STANDBY,,true,GOOD
MH-101,2026-05-15T02:30:00+05:30,0.0,0.0,0.0,0.0,230.2,49.95,27.6,STANDBY,,true,GOOD
MH-101,2026-05-15T02:45:00+05:30,0.0,0.0,0.0,0.0,229.1,49.98,28.1,STANDBY,,true,GOOD
MH-101,2026-05-15T03:00:00+05:30,0.0,0.0,0.0,0.0,230.6,49.94,27.2,STANDBY,,true,GOOD
MH-101,2026-05-15T03:15:00+05:30,0.0,0.0,0.0,0.0,230.4,50.0,28.8,STANDBY,,true,GOOD
MH-101,2026-05-15T03:30:00+05:30,0.0,0.0,0.0,0.0,224.8,50.07,27.5,STANDBY,,true,GOOD
MH-101,2026-05-15T03:45:00+05:30,0.0,0.0,0.0,0.0,228.5,49.96,29.0,STANDBY,,true,GOOD
MH-101,2026-05-15T04:00:00+05:30,0.0,0.0,0.0,0.0,228.3,50.02,26.1,STANDBY,,true,GOOD
MH-101,2026-05-15T04:15:00+05:30,0.0,0.0,0.0,0.0,224.6,50.01,27.7,STANDBY,,true,GOOD
MH-101,2026-05-15T04:30:00+05:30,0.0,0.0,0.0,0.0,227.5,50.0,28.7,STANDBY,,true,GOOD
MH-101,2026-05-15T04:45:00+05:30,0.0,0.0,0.0,0.0,229.3,49.97,27.9,STANDBY,,true,GOOD
MH-101,2026-05-15T05:00:00+05:30,0.0,0.0,0.0,0.0,231.7,49.99,29.0,STANDBY,,true,GOOD
MH-101,2026-05-15T05:15:00+05:30,0.0,0.0,0.0,0.0,226.3,50.01,27.4,STANDBY,,true,GOOD
MH-101,2026-05-15T05:30:00+05:30,0.0,0.0,0.0,0.0,228.5,50.0,28.2,STANDBY,,true,GOOD
MH-101,2026-05-15T05:45:00+05:30,0.0,0.0,0.0,0.0,233.0,49.99,29.5,STANDBY,,true,GOOD
MH-101,2026-05-15T06:00:00+05:30,0.0,0.0,0.0,0.0,228.7,50.07,30.1,STANDBY,,true,GOOD
MH-101,2026-05-15T06:15:00+05:30,0.0136,0.0543,563.1,0.1,232.9,49.98,31.4,RUNNING,,true,GOOD
